filename,config_num,distribution_group,regular_info_count,misinformation_count,total_posts,num_agents,run_mean_raw_diff,run_median_raw_diff,run_pct_positive_raw,run_std_raw_diff,run_mean_norm_diff,run_median_norm_diff,run_pct_positive_norm,run_std_norm_diff,normal_run_mean_norm_diff,normal_run_median_norm_diff,normal_run_pct_positive_norm,normal_n_agents,gullible_run_mean_norm_diff,gullible_run_median_norm_diff,gullible_run_pct_positive_norm,gullible_n_agents,stubborn_run_mean_norm_diff,stubborn_run_median_norm_diff,stubborn_run_pct_positive_norm,stubborn_n_agents
hyp2-config-127s-0.json,127,equal,50,450,500,300,667.4066666666666,397.0,1.0,1057.0916218310376,-0.8636592592592592,-0.61,0.03666666666666667,0.9860766240072343,-0.4730444444444445,-0.3533333333333333,0.0,100,-0.22946666666666665,-0.21111111111111108,0.09,100,-1.8884666666666663,-1.8766666666666665,0.02,100
hyp2-config-128s-0.json,128,equal,50,450,500,300,743.9133333333333,408.5,1.0,1048.8329997478575,-0.6048740740740741,-0.3222222222222223,0.07333333333333333,0.806451409618247,-0.15606666666666666,-0.1433333333333333,0.15,100,-0.20744444444444446,-0.11444444444444446,0.05,100,-1.4511111111111115,-1.4022222222222225,0.02,100
hyp2-config-129s-0.json,129,equal,50,450,500,300,670.4166666666666,407.0,1.0,1054.799869931534,-0.6374148148148149,-0.22333333333333338,0.06666666666666667,0.9399575670556489,-0.12117777777777777,-0.13222222222222213,0.15,100,-0.12751111111111116,-0.12444444444444447,0.04,100,-1.663555555555556,-1.8455555555555554,0.01,100
hyp2-config-12s-0.json,12,random,143,471,614,300,608.25,325.0,1.0,877.6693144831282,-0.23672981653873373,-0.15300728994996515,0.05333333333333334,0.4094319826869528,-0.17367556010868113,-0.12730687571451904,0.03,100,-0.13339435511410033,-0.08041958041958042,0.03,100,-0.4031195343934197,-0.37091889002717027,0.1,100
hyp2-config-130s-0.json,130,equal,50,450,500,300,681.27,397.0,1.0,1051.6652015194552,-0.5054444444444445,-0.20444444444444443,0.03666666666666667,0.7701822277497277,-0.24502222222222222,-0.17555555555555558,0.03,100,-0.17515555555555554,-0.14222222222222214,0.04,100,-1.0961555555555555,-1.0644444444444443,0.04,100
hyp2-config-131s-0.json,131,equal,50,450,500,300,736.4533333333334,400.0,1.0,1089.6445591905037,-0.26287407407407404,-0.20111111111111107,0.10666666666666667,0.44296509997922673,-0.1169777777777778,-0.04222222222222238,0.2,100,-0.16302222222222226,-0.14222222222222214,0.07,100,-0.5086222222222222,-0.4933333333333333,0.05,100
hyp2-config-132s-0.json,132,equal,50,450,500,300,736.1733333333333,433.0,1.0,1021.7322705735229,-0.4722074074074074,-0.23999999999999988,0.06666666666666667,0.6432855837967826,-0.10986666666666668,-0.11333333333333329,0.15,100,-0.23695555555555559,-0.17999999999999994,0.02,100,-1.0698,-1.1111111111111112,0.03,100
hyp2-config-133s-0.json,133,equal,50,450,500,300,650.6566666666666,416.0,1.0,771.7857363705978,-0.21993333333333334,-0.17666666666666664,0.12,0.36470159624612514,-0.12966666666666665,-0.15111111111111108,0.09,100,-0.2677111111111112,-0.19999999999999996,0.02,100,-0.26242222222222217,-0.1411111111111112,0.25,100
hyp2-config-134s-0.json,134,equal,50,450,500,300,688.84,395.0,1.0,904.8067520721304,-0.6439407407407407,-0.6444444444444444,0.03333333333333333,0.5973129833350004,-0.5397777777777779,-0.5655555555555557,0.04,100,-0.41415555555555555,-0.3855555555555555,0.05,100,-0.9778888888888888,-1.0022222222222221,0.01,100
hyp2-config-135s-0.json,135,equal,50,450,500,300,701.8066666666666,428.5,1.0,956.2764443833684,-0.3289037037037037,-0.13111111111111118,0.2,0.5739101892716266,-0.08160000000000003,-0.04111111111111121,0.39,100,-0.1502888888888889,-0.05222222222222228,0.14,100,-0.7548222222222222,-0.7977777777777777,0.07,100
hyp2-config-136s-0.json,136,equal,50,450,500,300,817.14,396.0,1.0,1220.727717771844,-0.907037037037037,-0.8655555555555555,0.05,0.826738404748883,-0.5144222222222222,-0.4222222222222222,0.05,100,-0.6527777777777779,-0.558888888888889,0.08,100,-1.5539111111111106,-1.586666666666667,0.02,100
hyp2-config-137s-0.json,137,equal,50,450,500,300,664.4533333333334,401.5,1.0,937.9210917788167,-1.19282962962963,-0.8644444444444443,0.03,1.154206245545103,-0.6634444444444444,-0.4766666666666667,0.02,100,-0.6205333333333333,-0.4422222222222222,0.02,100,-2.2945111111111114,-2.2622222222222224,0.05,100
