run_id,test_case,seed,dist_index,agent_distribution,red_ratio,centrist_ratio,blue_ratio,post_id,post_belief_value,post_camp,growth_rate,decay_rate
97s7,97,7,9,2-2-2,2,2,2,post_47,0,centrist,12.354545454545455,0.0
97s7,97,7,9,2-2-2,2,2,2,post_48,0,centrist,11.146753246753246,0.0
97s7,97,7,9,2-2-2,2,2,2,post_49,1,centrist,13.626315789473686,0.0
97s7,97,7,9,2-2-2,2,2,2,post_50,1,centrist,12.990225563909775,0.0
97s7,97,7,9,2-2-2,2,2,2,post_51,1,centrist,12.83233082706767,0.0
97s7,97,7,9,2-2-2,2,2,2,post_52,2,blue,11.51654135338346,0.0
97s7,97,7,9,2-2-2,2,2,2,post_53,2,blue,11.255844155844155,0.0
97s7,97,7,9,2-2-2,2,2,2,post_54,2,blue,7.913308913308913,0.0
97s7,97,7,9,2-2-2,2,2,2,post_55,3,blue,7.705194805194806,0.0
97s7,97,7,9,2-2-2,2,2,2,post_56,3,blue,9.996103896103897,0.0
97s7,97,7,9,2-2-2,2,2,2,post_57,3,blue,8.665982905982906,0.0
97s7,97,7,9,2-2-2,2,2,2,post_58,4,blue,2.826108374384236,0.0
97s7,97,7,9,2-2-2,2,2,2,post_59,-4,red,9.061403508771928,0.0
97s7,97,7,9,2-2-2,2,2,2,post_60,-3,red,5.068322981366459,0.0
97s7,97,7,9,2-2-2,2,2,2,post_61,-2,red,1.928142589118199,0.0
97s7,97,7,9,2-2-2,2,2,2,post_62,-1,centrist,5.859584859584859,0.0
97s7,97,7,9,2-2-2,2,2,2,post_63,0,centrist,12.157142857142858,0.0
97s7,97,7,9,2-2-2,2,2,2,post_64,0,centrist,10.888763410502541,0.0
97s7,97,7,9,2-2-2,2,2,2,post_65,0,centrist,11.396103896103897,0.0
97s7,97,7,9,2-2-2,2,2,2,post_66,1,centrist,10.929824561403509,0.0
97s7,97,7,9,2-2-2,2,2,2,post_67,2,blue,12.563909774436091,0.0
97s7,97,7,9,2-2-2,2,2,2,post_68,2,blue,9.368695652173912,0.0
97s7,97,7,9,2-2-2,2,2,2,post_69,2,blue,9.626086956521739,0.0
97s7,97,7,9,2-2-2,2,2,2,post_70,3,blue,9.71578947368421,0.0
97s7,97,7,9,2-2-2,2,2,2,post_71,4,blue,10.303759398496242,0.0
97s7,97,7,9,2-2-2,2,2,2,post_72,4,blue,9.945652173913043,0.0
97s7,97,7,9,2-2-2,2,2,2,post_73,4,blue,11.987012987012987,0.0
97s8,97,8,9,2-2-2,2,2,2,post_0,-4,red,10.272058823529411,0.0
97s8,97,8,9,2-2-2,2,2,2,post_1,-3,red,10.728070175438596,0.0
97s8,97,8,9,2-2-2,2,2,2,post_2,-2,red,6.015873015873016,0.0
97s8,97,8,9,2-2-2,2,2,2,post_3,-1,centrist,12.319298245614034,0.0
97s8,97,8,9,2-2-2,2,2,2,post_4,-1,centrist,11.68961038961039,0.0
97s8,97,8,9,2-2-2,2,2,2,post_5,-1,centrist,12.801503759398496,0.0
97s8,97,8,9,2-2-2,2,2,2,post_6,0,centrist,8.652173913043478,0.0
97s8,97,8,9,2-2-2,2,2,2,post_7,1,centrist,13.2987012987013,0.0
97s8,97,8,9,2-2-2,2,2,2,post_8,1,centrist,11.074025974025975,0.0
97s8,97,8,9,2-2-2,2,2,2,post_9,1,centrist,12.680451127819548,0.0
97s8,97,8,9,2-2-2,2,2,2,post_10,2,blue,5.480842911877396,0.0
97s8,97,8,9,2-2-2,2,2,2,post_11,3,blue,11.858441558441559,0.0
97s8,97,8,9,2-2-2,2,2,2,post_12,3,blue,11.676623376623377,0.0
97s8,97,8,9,2-2-2,2,2,2,post_13,3,blue,12.774025974025975,0.0
97s8,97,8,9,2-2-2,2,2,2,post_14,4,blue,12.496240601503759,0.0
97s8,97,8,9,2-2-2,2,2,2,post_15,4,blue,11.594805194805195,0.0
97s8,97,8,9,2-2-2,2,2,2,post_16,4,blue,12.463909774436091,0.0
97s8,97,8,9,2-2-2,2,2,2,post_17,-4,red,13.135338345864662,0.0
97s8,97,8,9,2-2-2,2,2,2,post_18,-4,red,14.854385964912279,0.0
97s8,97,8,9,2-2-2,2,2,2,post_19,-4,red,9.96923076923077,0.0
97s8,97,8,9,2-2-2,2,2,2,post_20,-3,red,10.692264257481648,0.0
97s8,97,8,9,2-2-2,2,2,2,post_21,-3,red,11.569734613212875,0.0
97s8,97,8,9,2-2-2,2,2,2,post_22,-3,red,11.44805194805195,0.0
97s8,97,8,9,2-2-2,2,2,2,post_23,-2,red,8.280701754385964,0.0
97s8,97,8,9,2-2-2,2,2,2,post_24,-1,centrist,12.429870129870128,0.0
97s8,97,8,9,2-2-2,2,2,2,post_25,-1,centrist,12.651127819548874,0.0
97s8,97,8,9,2-2-2,2,2,2,post_26,-1,centrist,13.196103896103896,0.0
97s8,97,8,9,2-2-2,2,2,2,post_27,0,centrist,7.0484400656814445,0.0
97s8,97,8,9,2-2-2,2,2,2,post_28,0,centrist,8.620415982484946,0.0
97s8,97,8,9,2-2-2,2,2,2,post_29,0,centrist,14.202255639097745,0.0
97s8,97,8,9,2-2-2,2,2,2,post_30,1,centrist,2.107142857142857,0.0
97s8,97,8,9,2-2-2,2,2,2,post_31,2,blue,8.8,0.0
97s8,97,8,9,2-2-2,2,2,2,post_32,3,blue,12.474025974025974,0.0
97s8,97,8,9,2-2-2,2,2,2,post_33,3,blue,11.912987012987013,0.0
97s8,97,8,9,2-2-2,2,2,2,post_34,3,blue,13.614035087719296,0.0
97s8,97,8,9,2-2-2,2,2,2,post_35,4,blue,11.058723884810842,0.0
97s8,97,8,9,2-2-2,2,2,2,post_36,4,blue,9.696103896103896,0.0
97s8,97,8,9,2-2-2,2,2,2,post_37,4,blue,11.440259740259739,0.0
97s8,97,8,9,2-2-2,2,2,2,post_38,-4,red,11.542857142857144,0.0
97s8,97,8,9,2-2-2,2,2,2,post_39,-4,red,13.750877192982452,0.0
97s8,97,8,9,2-2-2,2,2,2,post_40,-4,red,6.345564516129032,0.0
97s8,97,8,9,2-2-2,2,2,2,post_41,-3,red,6.823122529644269,0.0
97s8,97,8,9,2-2-2,2,2,2,post_42,-2,red,12.331168831168831,0.0
97s8,97,8,9,2-2-2,2,2,2,post_43,-2,red,12.801503759398496,0.0
97s8,97,8,9,2-2-2,2,2,2,post_44,-2,red,12.774025974025975,0.0
97s8,97,8,9,2-2-2,2,2,2,post_45,-1,centrist,10.010526315789475,0.0
